IP address,Port,TLS,Data Center,Region,City,Network Latency,Download Speed
8.219.85.102,443,true,AMS,Europe,Amsterdam,18 ms,3941 kB/s
8.219.68.52,443,true,AMS,Europe,Amsterdam,10 ms,3926 kB/s
8.219.90.83,443,true,AMS,Europe,Amsterdam,19 ms,3922 kB/s
8.219.60.138,443,true,AMS,Europe,Amsterdam,7 ms,3917 kB/s
8.219.206.141,443,true,AMS,Europe,Amsterdam,13 ms,3899 kB/s
8.219.185.113,443,true,AMS,Europe,Amsterdam,41 ms,3890 kB/s
8.219.199.220,443,true,AMS,Europe,Amsterdam,24 ms,3879 kB/s
47.254.17.234,443,true,AMS,Europe,Amsterdam,16 ms,3879 kB/s
8.219.162.235,443,true,AMS,Europe,Amsterdam,52 ms,3873 kB/s
8.222.207.7,443,true,AMS,Europe,Amsterdam,44 ms,3843 kB/s
8.222.151.149,443,true,AMS,Europe,Amsterdam,41 ms,3843 kB/s
8.219.76.64,443,true,AMS,Europe,Amsterdam,13 ms,3830 kB/s
8.219.193.233,443,true,AMS,Europe,Amsterdam,26 ms,3830 kB/s
8.219.216.21,443,true,AMS,Europe,Amsterdam,10 ms,3774 kB/s
8.219.172.209,443,true,AMS,Europe,Amsterdam,6 ms,3771 kB/s
8.219.199.173,443,true,AMS,Europe,Amsterdam,22 ms,3724 kB/s
8.219.194.240,443,true,AMS,Europe,Amsterdam,45 ms,3724 kB/s
8.213.137.24,443,true,AMS,Europe,Amsterdam,24 ms,3703 kB/s
8.219.146.157,443,true,AMS,Europe,Amsterdam,41 ms,3702 kB/s
8.222.130.12,443,true,AMS,Europe,Amsterdam,42 ms,3680 kB/s
8.219.4.212,443,true,AMS,Europe,Amsterdam,14 ms,3657 kB/s
8.219.110.215,443,true,AMS,Europe,Amsterdam,20 ms,3657 kB/s
8.219.213.33,443,true,AMS,Europe,Amsterdam,11 ms,3651 kB/s
8.219.238.171,443,true,AMS,Europe,Amsterdam,40 ms,3619 kB/s
8.219.122.232,443,true,AMS,Europe,Amsterdam,10 ms,3592 kB/s
8.219.249.43,443,true,AMS,Europe,Amsterdam,21 ms,3590 kB/s
8.222.141.94,443,true,AMS,Europe,Amsterdam,13 ms,3567 kB/s
8.219.68.253,443,true,AMS,Europe,Amsterdam,42 ms,3506 kB/s
8.219.141.189,443,true,AMS,Europe,Amsterdam,12 ms,3502 kB/s
8.222.214.118,443,true,AMS,Europe,Amsterdam,10 ms,3473 kB/s
8.219.68.253,443,true,AMS,Europe,Amsterdam,25 ms,3431 kB/s
8.219.91.136,443,true,AMS,Europe,Amsterdam,16 ms,3400 kB/s
8.219.57.86,443,true,AMS,Europe,Amsterdam,7 ms,3374 kB/s
8.219.112.173,443,true,AMS,Europe,Amsterdam,14 ms,3276 kB/s
8.219.85.102,443,true,AMS,Europe,Amsterdam,39 ms,3224 kB/s
8.219.212.137,443,true,AMS,Europe,Amsterdam,9 ms,3203 kB/s
8.222.191.138,443,true,AMS,Europe,Amsterdam,18 ms,3203 kB/s
8.219.132.229,443,true,AMS,Europe,Amsterdam,51 ms,3153 kB/s
8.219.186.60,443,true,AMS,Europe,Amsterdam,14 ms,2972 kB/s
8.219.191.149,443,true,AMS,Europe,Amsterdam,15 ms,2948 kB/s
47.57.13.107,443,true,AMS,Europe,Amsterdam,16 ms,2935 kB/s
8.219.199.220,443,true,AMS,Europe,Amsterdam,19 ms,2892 kB/s
8.219.247.22,443,true,AMS,Europe,Amsterdam,15 ms,2830 kB/s
8.219.146.157,443,true,AMS,Europe,Amsterdam,18 ms,2423 kB/s
8.219.86.153,443,true,AMS,Europe,Amsterdam,39 ms,2238 kB/s
8.219.196.225,443,true,AMS,Europe,Amsterdam,16 ms,2193 kB/s
8.210.140.91,443,true,AMS,Europe,Amsterdam,26 ms,2041 kB/s
47.253.192.14,443,true,AMS,Europe,Amsterdam,19 ms,1896 kB/s
8.219.120.124,443,true,AMS,Europe,Amsterdam,7 ms,1831 kB/s
8.219.204.118,443,true,AMS,Europe,Amsterdam,48 ms,1766 kB/s
8.219.55.66,443,true,AMS,Europe,Amsterdam,14 ms,1720 kB/s
8.219.192.210,443,true,AMS,Europe,Amsterdam,46 ms,1623 kB/s
8.219.204.118,443,true,AMS,Europe,Amsterdam,18 ms,1541 kB/s
8.219.132.229,443,true,AMS,Europe,Amsterdam,43 ms,1402 kB/s
8.212.44.95,443,true,AMS,Europe,Amsterdam,12 ms,990 kB/s
8.210.69.31,443,true,AMS,Europe,Amsterdam,45 ms,731 kB/s
8.219.156.29,443,true,AMS,Europe,Amsterdam,8 ms,580 kB/s
8.219.141.138,443,true,AMS,Europe,Amsterdam,39 ms,489 kB/s
8.222.231.97,443,true,AMS,Europe,Amsterdam,19 ms,386 kB/s
8.219.139.144,443,true,AMS,Europe,Amsterdam,18 ms,14 kB/s
